2026-01-12 13:31:46.017 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:31:46.017 [main] INFO  TestSteps -   TC_AMZ_005: Add Single Item to Cart
2026-01-12 13:31:46.017 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:31:46.017 [main] INFO  testcase5 - Priority: CRITICAL (P1) | Type: Smoke Test | Automation: YES
2026-01-12 13:31:46.021 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 143.0.7499.192 (resolved driver for Chrome 143)
2026-01-12 13:31:46.022 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as /Users/anishk/.cache/selenium/chromedriver/mac-arm64/143.0.7499.192/chromedriver
2026-01-12 13:31:46.022 [main] INFO  testcase5 - WebDriverManager setup completed
2026-01-12 13:31:46.022 [main] INFO  testcase5 - --- Test Setup Started ---
2026-01-12 13:31:46.446 [main] INFO  testcase5 - --- Test Setup Completed ---
2026-01-12 13:31:46.446 [main] INFO  utils.ScreenshotListener - Starting test: testAddSingleItemToCart
2026-01-12 13:31:46.446 [main] INFO  TestExecution - 
2026-01-12 13:31:46.446 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:31:46.446 [main] INFO  TestExecution - # TEST CASE: TC_AMZ_005 - Add Single Item to Cart
2026-01-12 13:31:46.446 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:31:46.446 [main] INFO  testcase5 - Search Keyword: usb cable
2026-01-12 13:31:46.446 [main] INFO  TestSteps - >>> Pre-condition : Navigate to product page
2026-01-12 13:32:01.724 [main] INFO  testcase5 - Navigated to homepage
2026-01-12 13:32:05.624 [main] INFO  testcase5 - Entered search keyword: usb cable
2026-01-12 13:32:09.157 [main] INFO  testcase5 - Clicked search button
2026-01-12 13:32:09.169 [main] INFO  testcase5 - Search results loaded
2026-01-12 13:32:19.329 [main] INFO  testcase5 - Clicked first product
2026-01-12 13:32:19.329 [main] INFO  TestSteps - >>> Step 1 : Get initial cart count
2026-01-12 13:32:19.338 [main] INFO  testcase5 - Initial cart count: 0
2026-01-12 13:32:19.339 [main] INFO  TestSteps - >>> Step 2 : Click 'Add to Cart' button
2026-01-12 13:32:31.976 [main] INFO  testcase5 - Add to Cart button clicked successfully
2026-01-12 13:32:31.977 [main] INFO  TestSteps - >>> Step 3 : Verify cart count increased
2026-01-12 13:32:31.994 [main] INFO  testcase5 - Cart count increased on attempt 1
2026-01-12 13:32:31.995 [main] INFO  testcase5 - Initial Count: 0, New Count: 1
2026-01-12 13:32:31.995 [main] INFO  testcase5 - Cart count verification passed
2026-01-12 13:32:31.995 [main] INFO  TestSteps - >>> Step 4 : Navigate to cart page
2026-01-12 13:32:34.405 [main] INFO  testcase5 - Navigated to cart page
2026-01-12 13:32:34.407 [main] INFO  testcase5 - Current URL: https://www.amazon.com/gp/cart/view.html?ref_=nav_cart
2026-01-12 13:32:34.407 [main] INFO  testcase5 - Cart page verification passed
2026-01-12 13:32:34.407 [main] INFO  testcase5 - ========================================
2026-01-12 13:32:34.407 [main] INFO  testcase5 - TEST RESULT: PASSED ✓
2026-01-12 13:32:34.407 [main] INFO  testcase5 - ========================================
2026-01-12 13:32:34.407 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:34.407 [main] INFO  TestExecution - # TEST CASE TC_AMZ_005 - RESULT: PASSED
2026-01-12 13:32:34.407 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:34.407 [main] INFO  TestExecution - 
2026-01-12 13:32:34.407 [main] INFO  utils.ScreenshotListener - Test passed: testAddSingleItemToCart
2026-01-12 13:32:34.408 [main] INFO  testcase5 - --- Test Teardown Started ---
2026-01-12 13:32:34.551 [main] INFO  testcase5 - Browser closed
2026-01-12 13:32:34.552 [main] INFO  testcase5 - --- Test Teardown Completed ---
2026-01-12 13:32:34.552 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:32:34.552 [main] INFO  TestSteps -   TC_AMZ_003: Verify Search with Price Filter
2026-01-12 13:32:34.552 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:32:34.552 [main] INFO  testcase3 - Priority: HIGH (P2) | Type: Functional Test | Automation: YES
2026-01-12 13:32:34.552 [main] INFO  testcase3 - Price Range: $500.0 - $1000.0
2026-01-12 13:32:34.556 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 143.0.7499.192 (resolved driver for Chrome 143)
2026-01-12 13:32:34.557 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as /Users/anishk/.cache/selenium/chromedriver/mac-arm64/143.0.7499.192/chromedriver
2026-01-12 13:32:34.557 [main] INFO  testcase3 - WebDriverManager setup completed
2026-01-12 13:32:34.558 [main] INFO  testcase3 - --- Test Setup Started ---
2026-01-12 13:32:35.087 [main] INFO  testcase3 - --- Test Setup Completed ---
2026-01-12 13:32:35.088 [main] INFO  utils.ScreenshotListener - Starting test: testPriceFilter
2026-01-12 13:32:35.088 [main] INFO  TestExecution - 
2026-01-12 13:32:35.088 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:35.088 [main] INFO  TestExecution - # TEST CASE: TC_AMZ_003 - Verify Price Filter
2026-01-12 13:32:35.088 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:32:35.088 [main] INFO  testcase3 - Search Keyword: laptop
2026-01-12 13:32:35.088 [main] INFO  TestSteps - >>> Step 1 : Navigate to Amazon and search for 'laptop'
2026-01-12 13:32:46.666 [main] INFO  testcase3 - Keyword entered: laptop
2026-01-12 13:32:51.685 [main] INFO  testcase3 - Initial search results loaded
2026-01-12 13:32:51.686 [main] INFO  TestSteps - >>> Step 2 : Apply price filter: $500.0 - $1000.0
2026-01-12 13:32:55.450 [main] INFO  testcase3 - Price filter applied successfully
2026-01-12 13:32:58.477 [main] INFO  testcase3 - Filtered results loaded
2026-01-12 13:32:58.478 [main] INFO  TestSteps - >>> Step 3 : Extract all product prices
2026-01-12 13:32:58.639 [main] INFO  testcase3 - Extracted 16 prices from products
2026-01-12 13:32:58.639 [main] INFO  testcase3 - Price extraction successful
2026-01-12 13:32:58.639 [main] INFO  TestSteps - >>> Step 4 : Validate all prices are within range
2026-01-12 13:32:58.640 [main] INFO  testcase3 - All prices verified to be within range $500.0 - $1000.0
